id,tipo_zona,frente_lote,calle,forma_lote,nombre_zona,tipo_edificio,estilo,calidad_gral,condicion_gral,año_construccion,calidad_exteriores,material_exteriores,condicion_exteriores,calidad_sotano,condicion_sotano,tipo_sotano,calefaccion,calidad_calefaccion,aire_acondicionado,baños_completos,baños_medios,recamaras_sup,calidad_cocina,cuartos_sup,tipo_garage,terminado_garage,num_coches,calidad_garage,condicion_garage,año_venta,mes_venta,tipo_venta,condicion_venta,lat,long,area_sotano_m2,area_1er_piso_m2,area_2o_piso_m2,area_hab_m2,area_garage_m2,area_lote_m2,precio_miles,valor_misc_miles,precio_m2_miles
1,RL,65,Pave,Reg,CollgCr,1Fam,2Story,7,5,2003,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,8,Attchd,RFn,2,TA,TA,2008,2,WD,Normal,42.021051,-93.685643,79.524968,79.524968,79.339162,158.86413,50.910844,785.03035,208.5,0,1.3124422737845227
2,RL,80,Pave,Reg,Veenker,1Fam,1Story,6,8,1976,TA,MetalSd,TA,Gd,TA,ALQ,GasA,Ex,Y,2,0,3,TA,6,Attchd,RFn,2,TA,TA,2007,5,WD,Normal,42.040106,-93.657032,117.243586,117.243586,0,117.243586,42.73538,891.8688,181.5,0,1.5480590980900226
3,RL,68,Pave,IR1,CollgCr,1Fam,2Story,7,5,2001,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,3,Gd,6,Attchd,RFn,2,TA,TA,2008,9,WD,Normal,42.021051,-93.685643,85.47076,85.47076,80.453998,165.924758,56.485024,1045.15875,223.5,0,1.3469960884318422
4,RL,60,Pave,IR1,Crawfor,1Fam,2Story,7,5,1915,TA,Wd Sdng,TA,TA,Gd,ALQ,GasA,Gd,Y,1,0,3,Gd,7,Detchd,Unf,3,TA,TA,2006,2,WD,Abnorml,42.025949,-93.620215,70.234668,89.279783,70.234668,159.514451,59.643726,887.22365,140,0,0.8776634287510414
5,RL,84,Pave,IR1,NoRidge,1Fam,2Story,8,5,2000,Gd,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,2,1,4,Gd,9,Attchd,RFn,3,TA,TA,2008,12,WD,Normal,42.050307,-93.656045,106.373935,106.373935,97.826859,204.200794,77.666908,1324.79678,250,0,1.224285151408373
6,RL,85,Pave,IR1,Mitchel,1Fam,1.5Fin,5,5,1993,TA,VinylSd,TA,Gd,TA,GLQ,GasA,Ex,Y,1,1,1,TA,5,Attchd,Unf,2,TA,TA,2009,10,WD,Normal,42.031307,-93.626967,73.950788,73.950788,52.583098,126.533886,44.59344,1311.325845,143,0.7,1.1301320501608558
7,RL,75,Pave,Reg,Somerst,1Fam,1Story,8,5,2004,Gd,VinylSd,TA,Ex,TA,GLQ,GasA,Ex,Y,2,0,3,Gd,7,Attchd,RFn,2,TA,TA,2007,8,WD,Normal,42.052191,-93.643479,156.634458,157.377682,0,157.377682,59.086308,936.833852,307,0,1.950721322734948
8,RL,NA,Pave,IR1,NWAmes,1Fam,2Story,7,6,1973,TA,HdBoard,TA,Gd,TA,ALQ,GasA,Ex,Y,2,1,3,TA,7,Attchd,RFn,2,TA,TA,2009,11,WD,Normal,42.051321,-93.633798,102.843621,102.843621,91.323649,194.16727,44.965052,964.518946,200,0.35,1.030039717816499
9,RM,51,Pave,Reg,OldTown,1Fam,1.5Fin,7,5,1931,TA,BrkFace,TA,TA,TA,Unf,GasA,Gd,Y,2,0,2,TA,8,Detchd,Unf,2,Fa,TA,2008,4,WD,Abnorml,42.028863,-93.615497,88.443656,94.946866,69.863056,164.809922,43.478604,568.56636,129.9,0,0.7881807018875964
10,RL,50,Pave,Reg,BrkSide,2fmCon,1.5Unf,5,6,1939,TA,MetalSd,TA,TA,TA,GLQ,GasA,Ex,Y,1,0,2,TA,5,Attchd,RFn,1,Gd,TA,2008,1,WD,Normal,42.03359,-93.627552,92.066873,100.05653099999999,0,100.05653099999999,19.045115,689.34026,118,0,1.17933331108591
