folioviv,foliohog,tam_loc,tot_integ,ocupados,educa_jefe,mat_pisos,celular,tv_paga,conex_inte,num_auto,num_tosta,num_lavad,num_compu,num_tva,num_tvd,num_micro,telefono,focos_inca,focos_ahor,drenaje,combustible,ing_cor,factor,est_socio,est_dis,upm,nse,piso_tierra
0100003801,1,100_mil,2,2,10,3,Si,Si,Si,2,1,1,1,1,2,1,No,3,8,servicio_público,gas_tanque,100696.7,247,4,003,0000010,AB,FALSE
0100003802,1,100_mil,2,2,10,3,Si,No,No,1,0,1,0,0,1,1,No,0,7,servicio_público,gas_tanque,146616.16,247,4,003,0000010,AB,FALSE
0100003803,1,100_mil,6,1,10,3,Si,Si,Si,1,0,1,1,1,1,1,Si,0,17,servicio_público,gas_tanque,94622.95,247,4,003,0000010,AB,FALSE
0100003804,1,100_mil,3,2,11,3,Si,Si,Si,3,1,1,1,1,2,1,No,3,10,servicio_público,gas_tanque,58278.65,247,4,003,0000010,C,FALSE
0100003805,1,100_mil,2,1,10,3,Si,No,Si,1,0,1,2,0,2,1,Si,0,12,servicio_público,gas_tanque,57295.07,247,4,003,0000010,C,FALSE
0100010401,1,100_mil,5,4,10,3,Si,Si,Si,2,0,1,1,1,2,1,Si,10,10,servicio_público,gas_tubo,149554.7,200,4,003,0000020,AB,FALSE
0100010402,1,100_mil,2,0,11,3,Si,Si,Si,0,0,1,0,1,1,1,Si,0,8,servicio_público,gas_tanque,33841.02,200,4,003,0000020,C,FALSE
0100010404,1,100_mil,2,0,10,3,No,Si,No,0,0,1,0,0,3,1,Si,0,8,servicio_público,gas_tanque,22472.93,200,4,003,0000020,D,FALSE
0100010405,1,100_mil,1,0,8,3,Si,Si,Si,1,0,1,1,0,2,1,Si,0,10,servicio_público,gas_tanque,74905.9,200,4,003,0000020,AB,FALSE
0100010406,1,100_mil,4,2,10,3,Si,Si,Si,1,0,1,2,2,0,1,Si,2,5,servicio_público,gas_tanque,62057.98,200,4,003,0000020,AB,FALSE
0100027701,1,100_mil,3,3,10,3,Si,Si,Si,3,1,1,4,0,4,1,Si,26,26,servicio_público,gas_tanque,637910.94,205,3,002,0000030,AB,FALSE
0100027702,1,100_mil,5,3,4,3,Si,Si,Si,1,0,2,1,2,0,1,Si,0,30,servicio_público,gas_tanque,88682.93,205,3,002,0000030,AB,FALSE
0100027703,1,100_mil,2,0,3,3,Si,No,No,0,0,1,0,0,1,1,No,0,7,servicio_público,gas_tanque,26416.55,205,3,002,0000030,D,FALSE
0100027706,1,100_mil,4,2,10,3,Si,Si,Si,1,0,1,1,0,2,1,Si,0,10,servicio_público,gas_tanque,58667.82,205,3,002,0000030,C,FALSE
0100031901,1,100_mil,9,5,4,1,Si,No,No,0,0,1,0,2,0,0,No,3,2,servicio_público,gas_tanque,22989.1,182,3,002,0000040,D,TRUE
0100031902,1,100_mil,1,0,4,2,Si,No,No,0,0,0,0,1,0,0,No,2,0,servicio_público,electricidad,9946.69,182,3,002,0000040,E,FALSE
0100031903,1,100_mil,4,3,6,2,Si,Si,Si,1,0,1,0,2,0,0,Si,6,0,servicio_público,gas_tanque,61258.04,182,3,002,0000040,AB,FALSE
0100031904,1,100_mil,4,2,4,3,No,No,Si,1,0,1,1,2,0,1,Si,2,3,servicio_público,gas_tubo,33217.45,182,3,002,0000040,C,FALSE
0100031905,1,100_mil,4,1,10,3,Si,No,No,0,0,1,1,2,1,1,No,0,9,servicio_público,gas_tanque,40940.2,182,3,002,0000040,C,FALSE
0100031906,1,100_mil,3,1,10,3,Si,Si,Si,1,0,1,1,1,0,1,No,0,6,servicio_público,gas_tanque,18141.98,182,3,002,0000040,D,FALSE
0100041501,1,100_mil,2,1,10,3,Si,Si,Si,1,1,1,2,3,4,1,Si,0,25,servicio_público,gas_tanque,53101.87,201,3,002,0000050,C,FALSE
0100041502,1,100_mil,1,1,8,3,Si,Si,Si,0,0,1,1,0,1,1,Si,1,12,servicio_público,gas_tanque,28519.44,201,3,002,0000050,D,FALSE
0100041505,1,100_mil,4,4,8,3,Si,Si,Si,1,1,1,1,0,4,1,Si,15,15,servicio_público,gas_tanque,86711.76,201,3,002,0000050,AB,FALSE
0100041506,1,100_mil,5,1,4,3,No,Si,No,0,0,1,0,4,0,1,Si,0,8,servicio_público,gas_tanque,51217.05,201,3,002,0000050,C,FALSE
0100062601,1,100_mil,3,2,3,3,No,No,Si,0,0,1,1,0,1,1,Si,0,14,servicio_público,gas_tanque,58169.43,181,3,002,0000060,C,FALSE
0100062603,1,100_mil,6,2,6,3,Si,No,No,0,0,0,0,1,0,0,No,0,3,servicio_público,gas_tanque,11773.75,181,3,002,0000060,E,FALSE
0100062604,1,100_mil,3,2,3,2,Si,No,Si,0,0,1,0,1,1,1,Si,6,5,servicio_público,gas_tanque,58952.39,181,3,002,0000060,C,FALSE
0100062605,1,100_mil,2,0,4,3,No,No,No,1,0,1,0,0,2,1,Si,0,9,servicio_público,gas_tanque,22918.24,181,3,002,0000060,D,FALSE
0100062606,1,100_mil,1,1,4,2,Si,No,No,0,0,0,0,1,0,0,No,0,6,servicio_público,gas_tanque,6819.98,181,3,002,0000060,E,FALSE
0100068001,1,100_mil,2,0,1,2,No,No,No,0,0,0,0,1,0,0,Si,0,6,servicio_público,gas_tanque,15017.96,160,2,001,0000070,D,FALSE
0100068002,1,100_mil,3,1,6,3,Si,Si,Si,1,0,1,1,0,1,1,No,3,6,servicio_público,gas_tanque,64245.51,160,2,001,0000070,AB,FALSE
0100068003,1,100_mil,1,1,1,2,Si,No,Si,0,0,1,0,1,1,0,Si,8,4,servicio_público,gas_tanque,15359.18,160,2,001,0000070,D,FALSE
0100068003,2,100_mil,7,5,6,2,Si,No,No,0,0,0,1,2,0,0,No,8,4,servicio_público,gas_tanque,27709.72,160,2,001,0000070,D,FALSE
0100068004,1,100_mil,5,4,7,2,Si,No,Si,1,0,1,1,1,1,1,Si,0,10,servicio_público,gas_tanque,29791.25,160,2,001,0000070,D,FALSE
0100068005,1,100_mil,1,0,3,3,No,Si,No,0,0,1,0,1,0,0,No,6,0,servicio_público,gas_tanque,17118.34,160,2,001,0000070,D,FALSE
0100068006,1,100_mil,3,2,10,3,Si,No,Si,1,0,1,1,0,1,1,Si,0,8,servicio_público,gas_tanque,78614.38,160,2,001,0000070,AB,FALSE
0100074201,1,100_mil,6,2,8,2,Si,Si,No,0,0,1,0,1,1,0,No,0,4,servicio_público,gas_tubo,17469.32,180,2,001,0000080,D,FALSE
0100074202,1,100_mil,2,2,4,3,Si,No,No,0,0,1,0,0,1,1,Si,1,5,servicio_público,gas_tubo,18736.77,180,2,001,0000080,D,FALSE
0100074203,1,100_mil,2,0,6,3,Si,Si,Si,0,0,1,1,0,1,1,Si,0,9,servicio_público,gas_tanque,38704.34,180,2,001,0000080,C,FALSE
